Total Dataset Population (in billions),,,PART1-3: Investigating Population Size,,,,,,
7.786695108,,,,,,,,,
,,,,,,,,,
Estimated World Population (in billions),,,,,,,,,
7.821,,,,,,,,,
,,,,,,,,,
Total Dataset Urban Population (in billions),,,,,,,,,
4.375308463,,,,,,,,,
,,,,,,,,,
Estimated World Urban Population (in billions),,,,,,,,,
4.30155,,,,,,,,,
,,,,,,,,,
Urban Share in Dataset (%),,,,,,,,,
56.18954386,,,,,,,,,
,,,,,,,,,
Population Percentage Difference,,,,,,,,,
0.4395894719,,,,,,,,,
,,,,,,,,,
Urban Population Percentage Difference,,,,,,,,,
1.700119067,,,,,,,,,
,,,,,,,,,
Urban Share Percentage Difference,,,,,,,,,
2.139668561,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,PART 4: INVESTIGATING ACCESS BY AREA,,,,,,,
,,,,,,,,,
,Section A: Computing the Measures of Central Tendency and Spread of the Four National Service Levels,,,,,,,,
,,,,,,,,,
FEATURE,MAXIMUM VALUES,MINIMUM VALUES,Q1 (25%),Q3 (75%),IQR,Median,Mean,Mode,Standard Deviation
_wat_bas_n_,100.0000037,37.20240205,85.64331096,99.88752524,14.24421428,97.3481397,89.86478253,100,15.08742684
_wat_lim_n_,37.42696287,0,0,4.851219157,4.851219157,0.4707829181,3.865265345,0,6.960846633
_wat_unimp_n_,33.53911377,0,0.03390622265,5.279309922,5.245403699,0.8536474704,4.418010654,0,7.174477036
_wat_sur_n_,30.36979308,0,0,1.878301993,1.878301993,0,1.915488584,0,3.923973987
wat_bas_r,100,21.98279234,64.8254211,99.11924249,34.29382139,90.73161683,81.33591803,100,21.50663741
wat_lim_r,42.16438068,0,0,8.553175126,8.553175126,1.812330835,30.15820634,0,8.704765846
wat_unimp_r,51.21598167,0,0.1584109169,13.2663393,13.10792838,3.229749713,8.732261484,0,11.82849434
wat_sur_r,40.51813242,0,0,6.157471481,6.157471481,0.2196897375,4.224039638,0,6.847951395
wat_bas_u,100,49.66166495,92.56287752,99.94941803,7.38654051,98.10662849,94.68983975,100,8.03886161
wat_lim_u,34.27978009,0,0,3.966347184,3.966347184,0.5,3.281838654,0,5.63506705
wat_unimp_u,19.83580681,0,0,2.059001302,2.059001302,0.3498740029,1.71878521,0,3.23457032
wat_sur_u,6.362160532,0,0,0.1597056849,0.1597056849,0,0.3131148443,0,0.8696316426
,,,,,,,,,
,Section B: Visualizing the four access features across the different types of areas.,,,,,,,,
FEATURE,Low (Min),Open (Q1),Close (Q3),High (Max),,,,,
_wat_bas_n_,37.20240205,85.14111683,99.88009732,100.0000037,,,,,
_wat_lim_n_,0,0,5.289554929,37.42696287,,,,,
_wat_unimp_n_,0,0.0568223346,5.70199002,33.53911377,,,,,
_wat_sur_n_,0,0,2.096878897,30.36979308,,,,,
wat_bas_r,21.98279234,63.87528586,98.65539726,100,,,,,
wat_lim_r,0,0,8.768605265,42.16438068,,,,,
wat_unimp_r,0,0.1570200392,13.53627974,51.21598167,,,,,
wat_sur_r,0,0,6.265798157,40.51813242,,,,,
wat_bas_u,49.66166495,92.10119,99.92231522,100,,,,,
wat_lim_u,0,0,4.233570117,34.27978009,,,,,
wat_unimp_u,0,0,2.13468778,19.83580681,,,,,
wat_sur_u,0,0,0.179553498,6.362160532,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
PART 5 A: VISUALIZING THE NATIONAL DISTRIBUTION OF ACCESS TO WATER PER SERVICE LEVEL,,,,,,,,,
,,,,,,,,,
pop_n,,wat_bas_n,wat_lim_n,wat_unimp_n,wat_sur_n,,,,
1.350000024,,99.70767665,0,0.2923233459,0,,,,
1.618000031,,97.01087618,0,2.989123822,0,,,,
3.48300004,,95.3089274,0,4.691072596,0,,,,
4.999000072,,98.07748262,0,1.922517378,0,,,,
5.795000076,,91.4,0,8.6,0,,,,
6.071000099,,99.1,0,0.9,0,,,,
9.885,,100,0,0,0,,,,
10.83399963,,100,0,0,0,,,,
11.24600029,,99.14328736,0,0.856712639,0,,,,
11.79199982,,100,0,0,0,,,,
17.56399918,,99.97161022,0,0.0283897827,0,,,,
18.09199905,,99.6575455,0,0.3424544984,0,,,,
30.23699951,,99.86438356,0,0.1356164384,0,,,,
33.69100189,,100,0,0,0,,,,
33.93799973,,100,0,0,0,,,,
38.13700104,,100,0,0,0,,,,
38.659,,99.99927139,0,0.0007286105507,0,,,,
39.24399948,,100,0,0,0,,,,
48.86500168,,100,0,0,0,,,,
55.1969986,,99.77377166,0,0.2262283415,0,,,,
56.77199936,,100.0000017,0,0,0,,,,
57.55699921,,100,0,0,0,,,,
59.19400024,,88.57204698,11.387979,0.03997402585,0,,,,
62.27299881,,99.90314002,0,0.09685998294,0,,,,
77.26499939,,100.0000037,0,0,0,,,,
85.03199768,,99.075,0,0.925,0,,,,
104.4229965,,98.71826738,0,1.281732624,0,,,,
105.6969986,,98.73108083,0.8814972962,0.3874218777,0,,,,
119.4459991,,77.97092085,4.076899625,17.95217953,0,,,,
168.7830048,,99.6952,0,0.3048,0,,,,
183.6289978,,96.88784457,1.815652166,1.296503269,0,,,,
198.4100037,,91.83772455,6.520899952,1.418623428,0.2227520679,,,,
219.1609955,,78.22645516,20.23798298,0.4435199284,1.09204193,,,,
272.8129883,,96.37117971,0,3.628820295,NAN,,,,
280.9039917,,100,0,0,0,,,,
285.4909973,,99.30532057,0,0.6946794278,0,,,,
287.3710022,,98.51445042,0.2676005761,1.217949005,0,,,,
298.6820068,,93.78221635,0,6.217783652,0,,,,
307.1499939,,91.23119075,1.06238505,0,7.706424202,,,,
341.25,,99.99999721,0,0.000002794650015,0,,,,
375.2650146,,99.84197078,0,0.1580292158,0,,,,
397.6210022,,98.40195463,1.249110629,0.3489347411,0,,,,
400.1270142,,99.80312604,0,0.1968739613,0,,,,
437.4830017,,99.9000368,0,0.09996320036,0,,,,
441.5390015,,100.0000004,0,0,0,,,,
540.5419922,,99.5444386,0.0480506913,0.407510705,0,,,,
555.9879761,,88.76960642,7.904150846,3.209147716,0.1170950144,,,,
586.6339722,,97.98963167,1.067246941,0.3793365073,0.563784884,,,,
625.9760132,,99.87993254,0,0.1200674649,0,,,,
628.0620117,,98.85691652,0.5454788204,0.592312011,0.005292650894,,,,
649.34198,,100,0,0,0,,,,
686.8779907,,67.30102554,5.79547831,21.26784313,5.635653025,,,,
771.6119995,,97.31322263,2.460712607,0.1764242183,0.04964054142,,,,
786.559021,,95.55480685,1.205244408,1.143069849,2.096878897,,,,
895.3079834,,100,0,0,0,,,,
896.4439697,,94.30106524,0,3.318602766,2.380331999,,,,
988.0020142,,76.04992021,14.7574817,7.015876051,2.176722038,,,,
1160.16394,,70.75307095,9.507067163,9.835567931,9.904293959,,,,
1207.360962,,99.76517318,0,0.2348268167,0,,,,
1271.766968,,99.8662547,0,0.1337453014,0,,,,
1318.442017,,85.4956012,1.88586597,8.360029397,4.258503433,,,,
1326.53894,,99.59078178,0,0.4092182232,0,,,,
1399.490967,,98.87517077,1.124829231,0,0,,,,
1701.583008,,100,0,0,0,,,,
1886.202026,,98.78260115,0.6823007424,0.5350981037,0,,,,
1967.998047,,59.01691221,14.03457137,26.6263769,0.3221395192,,,,
2078.931885,,99.5,0,0.5,0,,,,
2083.379883,,97.74281579,1.63499414,0.5742284762,0.04796159706,,,,
2142.251953,,72.17603927,10.40592597,12.21725464,5.200780116,,,,
2225.728027,,85.3419306,7.735263103,6.922808357,NAN,,,,
2351.625,,92.21356307,4.72303897,1.732526476,1.330871481,,,,
2416.664063,,80.94040714,8.597391391,10.35285207,0.1093493927,,,,
2540.916016,,84.27003628,7.08762751,3.740143722,4.902192485,,,,
2722.291016,,98.01334724,0,1.98665276,0,,,,
2860.840088,,100,0,0,0,,,,
2877.800049,,95.06803883,1.884656092,3.047305081,0,,,,
2881.060059,,99.56810194,0,0.4318980637,0,,,,
2961.160889,,91.0299445,5.367570914,1.864010203,1.738474379,,,,
2963.233887,,99.97118069,0,0.02881930801,0,,,,
3278.291992,,85.49562527,2.14642893,6.633366714,5.724579081,,,,
3280.814941,,96.11389762,3.823663938,0.06243843752,0,,,,
3473.727051,,99.49575756,0.5042424412,0,0,,,,
3989.175049,,97.3481397,0,2.632761379,0.01909892327,,,,
4033.962891,,90.56996224,1.519776762,7.910260997,0,,,,
4105.268066,,NAN,NAN,NAN,NAN,,,,
4270.562988,,100,0,0,0,,,,
4314.768066,,94.37254436,1.873480592,2.262304247,1.491670799,,,,
4649.660156,,71.68104923,13.47689193,14.82032681,0.02173203433,,,,
4822.23291,,100.0000013,0,0,0,,,,
